================================================================================
LESSONS LISTING - GROUPED BY GRADE AND SUBJECT
================================================================================

### Common Core (10 subjects):
--------------------------------------------------------------------------------

## Arabic Language & Literature (32 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
3729   | 13بعض مظاهر اختلال التوازنات الطبيعية              | 1st        | [All tracks]
3730   | 14تلوث الهواء واتلاف طبقة الأوزون والانحباس الحرار | 1st        | [All tracks]
3731   | 15عواقب استعمال المواد الكيميائية المفرط واتلاف ال | 1st        | [All tracks]
3732   | 16انقراض الحيوانات أسبابه وعواقبه                  | 1st        | [All tracks]
3733   | 17المحافظة على التوازنات الطبيعية                  | 1st        | [All tracks]
3734   | 1استغلال المياه وتلويثها                           | 1st        | [All tracks]
3735   | 2الإسراف في استغلال المياه                         | 1st        | [All tracks]
3736   | 3تلوث المياه                                       | 1st        | [All tracks]
3737   | 4تكوين المذخرات المائية                            | 1st        | [All tracks]
3738   | 5تكوين المدخرات المائية السطحية                    | 1st        | [All tracks]
3739   | 6تكوين المدخرات المائية الجوفية                    | 1st        | [All tracks]
3740   | 7التنقيب عن المياه الجوفية                         | 1st        | [All tracks]
3741   | 8الماء الشروب                                      | 1st        | [All tracks]
3742   | 9تزويد المجمعات السكنية بالماء الشروب              | 1st        | [All tracks]
3743   | Flux de la matière et de l’énergie dans l’écosystè | 1st        | [All tracks]
3744   | La classification des plantes                      | 1st        | [All tracks]
3745   | La modification génétique des plantes              | 1st        | [All tracks]
3746   | La reproduction asexuée chez les plantes           | 1st        | [All tracks]
3747   | La reproduction sexuée chez les plantes sans fleur | 1st        | [All tracks]
3748   | La reproduction sexuée chez les plantes à fleurs   | 1st        | [All tracks]
3749   | Les cycles de développement des plantes            | 1st        | [All tracks]
3750   | Les facteurs climatiques et leurs relations avec l | 1st        | [All tracks]
3751   | Les facteurs édaphiques et leurs relations avec le | 1st        | [All tracks]
3752   | Les techniques adaptatives à l’étude écologique su | 1st        | [All tracks]
3753   | Les équilibres naturels                            | 1st        | [All tracks]


## Mathematics (38 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3570   | 10قواعد في الحساب المثلثي                          | 1st        | [All tracks]
3571   | 11التحويلات في المستوى                             | 1st        | [All tracks]
3572   | 12الجداء السلمي                                    | 1st        | [All tracks]
3573   | 13الدوال العددية                                   | 1st        | [All tracks]
3574   | 14المعادلات والمتراجحات المثلثية                   | 1st        | [All tracks]
3575   | 15الهندسة الفضائية                                 | 1st        | [All tracks]
3576   | 16الإحصاء                                          | 1st        | [All tracks]
3577   | 1الأعداد الصحيحة الطبيعية ومبادئ في الحسابيات      | 1st        | [All tracks]
3578   | 2المجموعات R , Q , ID , Z , N                      | 1st        | [All tracks]
3579   | 3الترتيب في المجموعة R                             | 1st        | [All tracks]
3580   | 4الحدوديات                                         | 1st        | [All tracks]
3581   | 5المعادلات والمتراجحات والنظمات                    | 1st        | [All tracks]
3582   | 6الحساب المتجهي في المستوى                         | 1st        | [All tracks]
3583   | 7الإسقاط في المستوى                                | 1st        | [All tracks]
3584   | 8المستقيم في المستوى                               | 1st        | [All tracks]
3585   | 9الحساب المثلثي                                    | 1st        | [All tracks]
3586   | 1العمليات في R وخاصياتها                           | 1st        | [All tracks]
3587   | 2الترتيب في R وخاصياته                             | 1st        | [All tracks]
3588   | 3المعادلات المتراجحات والنظمات                     | 1st        | [All tracks]
3589   | 4الإحصاء                                           | 1st        | [All tracks]
3590   | 5المعلم في المستوى                                 | 1st        | [All tracks]
3591   | 6المستقيم في المستوى                               | 1st        | [All tracks]
3592   | 7الدوال العددية                                    | 1st        | [All tracks]
3593   | Arithmétique dans IN                               | 1st        | [All tracks]
3594   | Calcul vectoriel dans le plan                      | 1st        | [All tracks]
3595   | Généralités sur les fonctions                      | 1st        | [All tracks]
3596   | Géométrie dans l’espace                            | 1st        | [All tracks]
3597   | La droite dans le plan                             | 1st        | [All tracks]
3598   | La projection dans le plan                         | 1st        | [All tracks]
3599   | Le produit scalaire                                | 1st        | [All tracks]
3600   | Les ensembles de nombres N, Z, Q, D et R           | 1st        | [All tracks]
3601   | Les polynômes                                      | 1st        | [All tracks]
3602   | L’ordre dans IR                                    | 1st        | [All tracks]
3603   | Statistiques                                       | 1st        | [All tracks]
3604   | Transformations du plan                            | 1st        | [All tracks]
3605   | Trigonométrie 1 (Règles du calcul trigonométrique) | 1st        | [All tracks]
3606   | Trigonométrie 2 (Équations et inéquations trigonom | 1st        | [All tracks]
3607   | Équations, inéquations et systèmes                 | 1st        | [All tracks]


## Mechanical Engineering (7 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3754   | Correspondance des vues                            | 1st        | [All tracks]
3755   | Coupes et sections                                 | 1st        | [All tracks]
3756   | Dessin technique                                   | 1st        | [All tracks]
